word,english_translation
आपल्याक,Translation Error
कितें,Translation Error
तरी,Translation Error
जाता,Translation Error
म्हूण,Translation Error
सकयल,Translation Error
बसलो,Translation Error
आर्,Translation Error
पी,Translation Error
आय,Translation Error
सायबान,Translation Error
फुरसद,Translation Error
पळयली,Translation Error
ना,Translation Error
रोखडीच,Translation Error
सरकारी,Translation Error
गाडी,Translation Error
करून,Translation Error
आस्पत्रेंत,Translation Error
व्हेलो,Translation Error
सीता,Translation Error
खीणभर,Translation Error
ओगी,Translation Error
रावली,Translation Error
तिणें,Translation Error
मनांत,Translation Error
म्हळें,Translation Error
देवा,Translation Error
बरो,Translation Error
उल्ल्यार,Translation Error
पुरो,Translation Error
एक,Translation Error
फावट,Translation Error
जिवाक,Translation Error
बरेंऽऽना,Translation Error
म्हणटालो,Translation Error
व्हदळ,Translation Error
दिपकान,Translation Error
म्हळें,Translation Error
आई,Translation Error
हांव,Translation Error
वचूं,Translation Error
गे,Translation Error
हॉस्पिटलांत,Translation Error
हांवूय,Translation Error
येतां,Translation Error
या,Translation Error
आमी,Translation Error
तुमी,Translation Error
वचची,Translation Error
गरज,Translation Error
ना,Translation Error
दोन,Translation Error
पुलीस,Translation Error
आनी,Translation Error
स्वता,Translation Error
सायबा,Translation Error
वांगडा,Translation Error
गेल्यात,Translation Error
दोतोर,Translation Error
कितें,Translation Error
सांगता,Translation Error
तें,Translation Error
पळोवन,Translation Error
दवरून,Translation Error
घेता,Translation Error
जाल्यार,Translation Error
रोखडोच,Translation Error
फोन,Translation Error
करून,Translation Error
कळयतां,Translation Error
म्हळां,Translation Error
सायबान,Translation Error
म्हाका,Translation Error
अशें,Translation Error
सांग,Translation Error
म्हणिल्लें,Translation Error
बेठेंच,Translation Error
तुमकां,Translation Error
धाडूं,Translation Error
नाका,Translation Error
म्हळां,Translation Error
हाचेर,Translation Error
तिका,Translation Error
कितें,Translation Error
उलोंवचें,Translation Error
म्हूण,Translation Error
कळ्ळें,Translation Error
ना,Translation Error
ती,Translation Error
ओगी,Translation Error
रावली,Translation Error
देवीआवो,Translation Error
पाव,Translation Error
गे,Translation Error
बरो,Translation Error
जावन,Translation Error
येयल्यार,Translation Error
पुरो,Translation Error
हूट,Translation Error
